timestamp,site_url,hunt,jobs_reviewed,grade,rationale
2026-08-22T04:22:03.547Z,https://www.fastaijobs.com/jobs/seattle,3,5,B+,"1,001 AI startup jobs from 79 companies. Anthropic, Overland AI, Auger, Crusoe. Table-based listing is parseable. But salary data often missing from table (need individual pages). Top companies listed but mostly large (FluidStack, OpenAI, Anduril)."
2026-08-22T04:22:03.547Z,https://app.otta.com/jobs?query=Seattle,3,0,E,"Login required. Redirects to Welcome to the Jungle sign-in page. No public job listings accessible without authentication. Same result as Hunt 1."
2026-08-22T04:22:03.547Z,https://builtin.com/jobs/seattle-wa?remote=true,3,0,C,"Generic Built In page, not Seattle-specific remote engineering. Returns Toast sales roles (Ohio) rather than Seattle remote engineering. Seattle filter not effective on this URL variant."
2026-08-22T00:00:00,https://wellfound.com/role/l/cybersecurity/seattle,4,25,S,"Wellfound cybersecurity Seattle: Writer, Metropolis, Galvanick AI security roles. Direct apply URLs, salary bands, small startups. Highest signal for Aaron."
2026-08-22T00:00:00,https://careers.checkpoint.com,4,12,A,"Check Point AI Security Unit role directly confirmed. Strong AI red teaming focus."
2026-08-22T00:00:00,https://openai.com/careers,4,8,A,"OpenAI 3 security roles in Seattle (AppSec, InfraSec, AgentSec). Agent Security peak AI security. Hybrid/remote."
2026-08-22T00:00:00,https://www.anthropic.com/careers,4,6,A,"Anthropic 4 Seattle security roles. Top comp ($320-405K). AI-native company."
2026-08-22T00:00:00,https://www.qualtrics.com/careers,4,5,A,"Qualtrics AI Security Architect - prompt injection, agentic AI, MCP. Direct apply URL."
2026-08-22T00:00:00,https://www.okta.com/company/careers,4,3,A,"Okta Staff AI Security Engineer - agentic workflow security, prompt injection. $180-247K."
2026-08-22T00:00:00,https://jobs.apple.com,4,4,A,"Apple AI Security Engineer Red Team - ASE Security. Direct apply URL."
2026-08-22T00:00:00,https://careers.microsoft.com,4,2,B,"Microsoft AI Red Team + Security AI. Redmond. Massive company, harder to find specific listings."
2026-08-22T00:00:00,https://careers.lululemon.com,4,3,A,"Lululemon Data & AI Security - DSPM/AISPM. On-site Seattle. Direct apply."
2026-08-22T00:00:00,https://careers.nordstrom.com,4,3,B,"Nordstrom AI Agentic Solutions - guardrails/security. Not pure security but adjacent."
2026-08-22T00:00:00,https://jpmc.fa.oraclecloud.com,4,2,B,"JPMorgan AI-driven security roles. Financial services, strong comp."
2026-08-22T00:00:00,https://uw.wd5.myworkdayjobs.com,4,1,A,"UW AI Security Engineer - Azure AI Foundry, RAG isolation. Academic but cutting-edge."
2026-08-22T00:00:00,https://www.grayswan.ai/careers,4,2,A,"Gray Swan AI - AI red teaming startup, $40M Series A. Remote. Pure AI security."
2026-08-22T00:00:00,https://builtinseattle.com,4,3,B,"Built In Seattle - CrowdStrike Staff AI Security Scientist. Some signal."
2026-08-22T00:00:00,https://www.indeed.com,4,0,D,"Indeed - Cloudflare WAF blocks automated access. Discovery only."
2026-08-22T00:00:00,https://www.dice.com,4,0,D,"Dice - some listings syndicated but mostly large enterprise."
2026-08-22T00:00:00,https://www.ziprecruiter.com,4,0,D,"ZipRecruiter - blocked by anti-scraping."
2026-08-22T00:00:00,https://www.fastaijobs.com/jobs/seattle,4,0,E,"Fast AI Jobs - empty response. Cannot access."
